,tradeDate,Name,Commercial_NetPosition,CommercialLongPosition,CommercialShortPosition,ManagedMoney_NetPosition,ManagedMoney_LongPosition,ManagedMoney_ShortPosition
0,2010-01-04,CL,,,,,,
1,2010-01-05,CL,-304987.0,432717.0,737704.0,205857.0,332739.0,126882.0
2,2010-01-06,CL,,,,,,
3,2010-01-07,CL,,,,,,
4,2010-01-08,CL,,,,,,
5,2010-01-11,CL,,,,,,
6,2010-01-12,CL,-297279.0,451398.0,748677.0,226565.0,351626.0,125061.0
7,2010-01-13,CL,,,,,,
8,2010-01-14,CL,,,,,,
9,2010-01-15,CL,,,,,,
10,2010-01-19,CL,-293494.0,450889.0,744383.0,221515.0,340984.0,119469.0
11,2010-01-20,CL,,,,,,
12,2010-01-21,CL,,,,,,
13,2010-01-22,CL,,,,,,
14,2010-01-25,CL,,,,,,
15,2010-01-26,CL,-269564.0,464487.0,734051.0,179075.0,299248.0,120173.0
16,2010-01-27,CL,,,,,,
17,2010-01-28,CL,,,,,,
18,2010-01-29,CL,,,,,,
19,2010-02-01,CL,,,,,,
20,2010-02-02,CL,-265706.0,462333.0,728039.0,170175.0,292650.0,122475.0
21,2010-02-03,CL,,,,,,
22,2010-02-04,CL,,,,,,
23,2010-02-05,CL,,,,,,
24,2010-02-08,CL,,,,,,
25,2010-02-09,CL,-259159.0,464307.0,723466.0,140235.0,273595.0,133360.0
26,2010-02-10,CL,,,,,,
27,2010-02-11,CL,,,,,,
28,2010-02-12,CL,,,,,,
29,2010-02-16,CL,-269105.0,465648.0,734753.0,161279.0,287219.0,125940.0
30,2010-02-17,CL,,,,,,
31,2010-02-18,CL,,,,,,
32,2010-02-19,CL,,,,,,
33,2010-02-22,CL,,,,,,
34,2010-02-23,CL,-273271.0,428423.0,701694.0,178816.0,301558.0,122742.0
35,2010-02-24,CL,,,,,,
36,2010-02-25,CL,,,,,,
37,2010-02-26,CL,,,,,,
38,2010-03-01,CL,,,,,,
39,2010-03-02,CL,-271608.0,447865.0,719473.0,191876.0,310808.0,118932.0
40,2010-03-03,CL,,,,,,
41,2010-03-04,CL,,,,,,
42,2010-03-05,CL,,,,,,
43,2010-03-08,CL,,,,,,
44,2010-03-09,CL,-275217.0,483297.0,758514.0,205427.0,323154.0,117727.0
45,2010-03-10,CL,,,,,,
46,2010-03-11,CL,,,,,,
47,2010-03-12,CL,,,,,,
48,2010-03-15,CL,,,,,,
49,2010-03-16,CL,-279178.0,506971.0,786149.0,214903.0,329506.0,114603.0
50,2010-03-17,CL,,,,,,
51,2010-03-18,CL,,,,,,
52,2010-03-19,CL,,,,,,
53,2010-03-22,CL,,,,,,
54,2010-03-23,CL,-290507.0,452259.0,742766.0,203148.0,319763.0,116615.0
55,2010-03-24,CL,,,,,,
56,2010-03-25,CL,,,,,,
57,2010-03-26,CL,,,,,,
58,2010-03-29,CL,,,,,,
59,2010-03-30,CL,-304463.0,457516.0,761979.0,213232.0,325544.0,112312.0
60,2010-03-31,CL,,,,,,
61,2010-04-01,CL,,,,,,
62,2010-04-05,CL,,,,,,
63,2010-04-06,CL,-298655.0,476251.0,774906.0,233648.0,363591.0,129943.0
64,2010-04-07,CL,,,,,,
65,2010-04-08,CL,,,,,,
66,2010-04-09,CL,,,,,,
67,2010-04-12,CL,,,,,,
68,2010-04-13,CL,-307164.0,536220.0,843384.0,233576.0,353789.0,120213.0
69,2010-04-14,CL,,,,,,
70,2010-04-15,CL,,,,,,
71,2010-04-16,CL,,,,,,
72,2010-04-19,CL,,,,,,
73,2010-04-20,CL,-315658.0,533886.0,849544.0,229320.0,338076.0,108756.0
74,2010-04-21,CL,,,,,,
75,2010-04-22,CL,,,,,,
76,2010-04-23,CL,,,,,,
77,2010-04-26,CL,,,,,,
78,2010-04-27,CL,-296370.0,560971.0,857341.0,209975.0,322670.0,112695.0
79,2010-04-28,CL,,,,,,
80,2010-04-29,CL,,,,,,
81,2010-04-30,CL,,,,,,
82,2010-05-03,CL,,,,,,
83,2010-05-04,CL,-292244.0,584333.0,876577.0,213850.0,337116.0,123266.0
84,2010-05-05,CL,,,,,,
85,2010-05-06,CL,,,,,,
86,2010-05-07,CL,,,,,,
87,2010-05-10,CL,,,,,,
88,2010-05-11,CL,-304459.0,563709.0,868168.0,188977.0,323773.0,134796.0
89,2010-05-12,CL,,,,,,
90,2010-05-13,CL,,,,,,
91,2010-05-14,CL,,,,,,
92,2010-05-17,CL,,,,,,
93,2010-05-18,CL,-284490.0,484685.0,769175.0,154871.0,324581.0,169710.0
94,2010-05-19,CL,,,,,,
95,2010-05-20,CL,,,,,,
96,2010-05-21,CL,,,,,,
97,2010-05-24,CL,,,,,,
98,2010-05-25,CL,-286845.0,491965.0,778810.0,138493.0,306421.0,167928.0
99,2010-05-26,CL,,,,,,
100,2010-05-27,CL,,,,,,
101,2010-05-28,CL,,,,,,
102,2010-06-01,CL,-280523.0,482719.0,763242.0,134927.0,312986.0,178059.0
103,2010-06-02,CL,,,,,,
104,2010-06-03,CL,,,,,,
105,2010-06-04,CL,,,,,,
106,2010-06-07,CL,,,,,,
107,2010-06-08,CL,-276163.0,460813.0,736976.0,131829.0,304871.0,173042.0
108,2010-06-09,CL,,,,,,
109,2010-06-10,CL,,,,,,
110,2010-06-11,CL,,,,,,
111,2010-06-14,CL,,,,,,
112,2010-06-15,CL,-272513.0,475671.0,748184.0,155640.0,310919.0,155279.0
113,2010-06-16,CL,,,,,,
114,2010-06-17,CL,,,,,,
115,2010-06-18,CL,,,,,,
116,2010-06-21,CL,,,,,,
117,2010-06-22,CL,-246930.0,470363.0,717293.0,134536.0,294302.0,159766.0
118,2010-06-23,CL,,,,,,
119,2010-06-24,CL,,,,,,
120,2010-06-25,CL,,,,,,
121,2010-06-28,CL,,,,,,
122,2010-06-29,CL,-244400.0,459020.0,703420.0,121794.0,285565.0,163771.0
123,2010-06-30,CL,,,,,,
124,2010-07-01,CL,,,,,,
125,2010-07-02,CL,,,,,,
126,2010-07-06,CL,-225375.0,455662.0,681037.0,100633.0,277403.0,176770.0
127,2010-07-07,CL,,,,,,
128,2010-07-08,CL,,,,,,
129,2010-07-09,CL,,,,,,
130,2010-07-12,CL,,,,,,
131,2010-07-13,CL,-243055.0,469458.0,712513.0,136176.0,292127.0,155951.0
132,2010-07-14,CL,,,,,,
133,2010-07-15,CL,,,,,,
134,2010-07-16,CL,,,,,,
135,2010-07-19,CL,,,,,,
136,2010-07-20,CL,-244543.0,426371.0,670914.0,135267.0,287702.0,152435.0
137,2010-07-21,CL,,,,,,
138,2010-07-22,CL,,,,,,
139,2010-07-23,CL,,,,,,
140,2010-07-26,CL,,,,,,
141,2010-07-27,CL,-257516.0,438249.0,695765.0,155688.0,300010.0,144322.0
142,2010-07-28,CL,,,,,,
143,2010-07-29,CL,,,,,,
144,2010-07-30,CL,,,,,,
